1;;;;
;TTC-165 1.5 спальный;Color:color:0;бежевый:0;TTC-165 1.5 спальный
;TTC-165 2 спальный;Color:color:0;бежевый:0;TTC-165 2 спальный
;TTC-165 Евро;Color:color:0;бежевый:0;TTC-165 Евро
;TTC-165 Семейный;Color:color:0;бежевый:0;TTC-165 Семейный
;TTMF-39 2 спальный;Color:color:0;белый:0;TTMF-39 2 спальный
;TTPRC-R-14 160x200;Color:color:0;голубой:0;TTPRC-R-14 160x200
;TTMF-41 1.5 спальный;Color:color:0;серый:0;TTMF-41 1.5 спальный
;TTMF-42 1.5 спальный;Color:color:0;сиреневый:0;TTMF-42 1.5 спальный
;TTMF-29 1.5 спальный;Color:color:0;бежевый:0;TTMF-29 1.5 спальный
;TTMF-29 2 спальный;Color:color:0;бежевый:0;TTMF-29 2 спальный
;TTMF-46 1.5 спальный;Color:color:0;бежевый:0;TTMF-46 1.5 спальный
;TTMF-46 2 спальный;Color:color:0;бежевый:0;TTMF-46 2 спальный
;TTPRC-R-13 160x200;Color:color:0;салатовый:0;TTPRC-R-13 160x200
;TTPRC-R-02 160x200;Color:color:0;кремовый:0;TTPRC-R-02 160x200
;GR01-00007175;Color:color:0;зеленый:0;GR01-00007175
;TTPRC-R-03 160x200;Color:color:0;бежевый:0;TTPRC-R-03 160x200
;GR01-00013508;Color:color:0;красный:0;GR01-00013508
;GR01-00009460;Color:color:0;синий:0;GR01-00009460
;GR01-00013722;Color:color:0;синий:0;GR01-00013722
;GR01-00013722;Color:color:1;мульти:1;GR01-00013722
;GR01-00014269;Color:color:0;бежевый:0;GR01-00014269
;GR01-00014296;Color:color:0;бирюзовый:0;GR01-00014296
;GR01-00014607;Color:color:0;красный:0;GR01-00014607
;GR01-00014631;Color:color:0;оранжевый:0;GR01-00014631
;GR01-00014605;Color:color:0;фиолетовый:0;GR01-00014605
;GR01-00014076;Color:color:0;лиловый:0;GR01-00014076
;GR01-00014616;Color:color:0;фиолетовый:0;GR01-00014616
;GR01-00014937;Color:color:0;зеленый:0;GR01-00014937
;GR01-00014939;Color:color:0;фиолетовый:0;GR01-00014939
;GR01-00014927;Color:color:0;оранжевый:0;GR01-00014927
;GR01-00014931;Color:color:0;зеленый:0;GR01-00014931
;GR01-00014133;Color:color:0;синий:0;GR01-00014133
;GR01-00014941;Color:color:0;голубой:0;GR01-00014941
;GR01-00014943;Color:color:0;оранжевый:0;GR01-00014943
;GR01-00014134;Color:color:0;розовый:0;GR01-00014134
;GR01-00014648;Color:color:0;красный:0;GR01-00014648
;GR01-00010839;Color:color:0;розовый:0;GR01-00010839
;GR01-00010838;Color:color:0;коралловый:0;GR01-00010838
;GR01-00014414;Color:color:0;фуксия:0;GR01-00014414
;GR01-00014682;Color:color:0;синий:0;GR01-00014682
